Unnamed: 0,_time,etat_failed
206,2022-07-14 00:00:00+00:00,141
207,2022-07-15 00:00:00+00:00,133
208,2022-07-16 00:00:00+00:00,177
209,2022-07-17 00:00:00+00:00,133
210,2022-07-18 00:00:00+00:00,134
211,2022-07-19 00:00:00+00:00,119
212,2022-07-20 00:00:00+00:00,118
213,2022-07-21 00:00:00+00:00,134
214,2022-07-22 00:00:00+00:00,180
215,2022-07-23 00:00:00+00:00,228
216,2022-07-24 00:00:00+00:00,218
217,2022-07-25 00:00:00+00:00,231
218,2022-07-26 00:00:00+00:00,108
219,2022-07-27 00:00:00+00:00,114
220,2022-07-28 00:00:00+00:00,134
221,2022-07-29 00:00:00+00:00,110
222,2022-07-30 00:00:00+00:00,102
223,2022-07-31 00:00:00+00:00,105
224,2022-08-01 00:00:00+00:00,110
225,2022-08-02 00:00:00+00:00,112
226,2022-08-03 00:00:00+00:00,113
227,2022-08-04 00:00:00+00:00,123
228,2022-08-05 00:00:00+00:00,108
229,2022-08-06 00:00:00+00:00,98
230,2022-08-07 00:00:00+00:00,114
231,2022-08-08 00:00:00+00:00,109
232,2022-08-09 00:00:00+00:00,94
233,2022-08-10 00:00:00+00:00,106
234,2022-08-11 00:00:00+00:00,97
235,2022-08-12 00:00:00+00:00,92
236,2022-08-13 00:00:00+00:00,85
237,2022-08-14 00:00:00+00:00,86
238,2022-08-15 00:00:00+00:00,86
239,2022-08-16 00:00:00+00:00,78
240,2022-08-17 00:00:00+00:00,82
241,2022-08-18 00:00:00+00:00,39
242,2022-08-19 00:00:00+00:00,27
243,2022-08-22 00:00:00+00:00,33
244,2022-08-23 00:00:00+00:00,6
245,2022-08-24 00:00:00+00:00,51
246,2022-08-25 00:00:00+00:00,41
247,2022-08-26 00:00:00+00:00,40
248,2022-08-27 00:00:00+00:00,42
249,2022-08-28 00:00:00+00:00,6
250,2022-08-29 00:00:00+00:00,139
251,2022-08-30 00:00:00+00:00,48
252,2022-08-31 00:00:00+00:00,33
253,2022-09-01 00:00:00+00:00,40
254,2022-09-02 00:00:00+00:00,44
255,2022-09-03 00:00:00+00:00,41
256,2022-09-04 00:00:00+00:00,51
257,2022-09-05 00:00:00+00:00,47
258,2022-09-06 00:00:00+00:00,45
259,2022-09-07 00:00:00+00:00,37
260,2022-09-08 00:00:00+00:00,56
261,2022-09-09 00:00:00+00:00,62
262,2022-09-10 00:00:00+00:00,57
263,2022-09-11 00:00:00+00:00,42
264,2022-09-12 00:00:00+00:00,52
265,2022-09-13 00:00:00+00:00,42
266,2022-09-14 00:00:00+00:00,44
267,2022-09-15 00:00:00+00:00,47
268,2022-09-16 00:00:00+00:00,47
269,2022-09-17 00:00:00+00:00,32
270,2022-09-18 00:00:00+00:00,34
271,2022-09-19 00:00:00+00:00,43
272,2022-09-20 00:00:00+00:00,32
273,2022-09-21 00:00:00+00:00,43
274,2022-09-22 00:00:00+00:00,42
275,2022-09-23 00:00:00+00:00,40
276,2022-09-24 00:00:00+00:00,35
277,2022-09-25 00:00:00+00:00,41
278,2022-09-26 00:00:00+00:00,45
279,2022-09-27 00:00:00+00:00,36
280,2022-09-28 00:00:00+00:00,49
281,2022-09-29 00:00:00+00:00,41
282,2022-09-30 00:00:00+00:00,52
283,2022-10-01 00:00:00+00:00,61
284,2022-10-02 00:00:00+00:00,44
285,2022-10-03 00:00:00+00:00,39
286,2022-10-04 00:00:00+00:00,51
287,2022-10-05 00:00:00+00:00,45
288,2022-10-06 00:00:00+00:00,41
289,2022-10-07 00:00:00+00:00,46
290,2022-10-08 00:00:00+00:00,32
291,2022-10-09 00:00:00+00:00,44
292,2022-10-10 00:00:00+00:00,35
293,2022-10-11 00:00:00+00:00,42
294,2022-10-12 00:00:00+00:00,36
295,2022-10-13 00:00:00+00:00,35
296,2022-10-14 00:00:00+00:00,46
297,2022-10-15 00:00:00+00:00,41
298,2022-10-16 00:00:00+00:00,43
299,2022-10-17 00:00:00+00:00,47
300,2022-10-18 00:00:00+00:00,50
301,2022-10-19 00:00:00+00:00,41
302,2022-10-20 00:00:00+00:00,43
303,2022-10-21 00:00:00+00:00,34
304,2022-10-22 00:00:00+00:00,34
305,2022-10-23 00:00:00+00:00,41
306,2022-10-24 00:00:00+00:00,41
307,2022-10-25 00:00:00+00:00,57
308,2022-10-26 00:00:00+00:00,36
309,2022-10-27 00:00:00+00:00,34
310,2022-10-28 00:00:00+00:00,37
311,2022-10-29 00:00:00+00:00,27
312,2022-10-30 00:00:00+00:00,40
313,2022-10-31 00:00:00+00:00,33
314,2022-11-01 00:00:00+00:00,39
315,2022-11-02 00:00:00+00:00,46
316,2022-11-03 00:00:00+00:00,43
317,2022-11-04 00:00:00+00:00,37
